input_row,submission_key,supplied_cod_imovel,resolved_cod_imovel,resolution_method,match_score,resolution_candidate_count,resolution_status,axes_repaired
59,3718e0a0d9b14fe67fa40800a1e5b470,GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,GO-5212204-8C2ACD4A01B64F69807B969C95EEE9FC,id_exact,1.0,1,resolved,false
60,c8678eecc23d8c1544970f9ae649dea9,GO-5212204-8D44AFB4390A42E39D43C06628182C81,GO-5212204-8D44AFB4390A42E39D43C06628182C81,id_exact,1.0,1,resolved,false
61,929acb34ba0bf6b44a1dc8c7ed6cb7b8,GO-5212204-8DD46E6D5E704E74AEFF1181E1B9A06F,GO-5212204-8DD46E6D5E704E74AEFF1181E1B9A06F,id_exact,1.0,1,resolved,false
62,3218f7332475d212ecf7273fd62cca23,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,id_exact,1.0,1,resolved,false
63,c9900e4639fddb211ada8b01bf93a341,GO-5212204-8FCA16FDCA014D4CBDA3F9FCB4E9CC9B,GO-5212204-8FCA16FDCA014D4CBDA3F9FCB4E9CC9B,id_exact,1.0,1,resolved,false
64,4d3e7e1258bf0d91a26ae3173b30c655,GO-5212204-950D2FF509934A06BF6812F6700B4B9D,GO-5212204-950D2FF509934A06BF6812F6700B4B9D,id_exact,1.0,1,resolved,false
65,994b0740111298c7c8e164fd95c68776,GO-5212204-9590B08FA4974D2786D41A9EB95C0A8E,GO-5212204-9590B08FA4974D2786D41A9EB95C0A8E,id_exact,1.0,1,resolved,false
66,a4df729bf32fb5472935ae24b67b354e,GO-5212204-973E3F7C82CF4FBC87FD49A783C04134,GO-5212204-973E3F7C82CF4FBC87FD49A783C04134,id_exact,1.0,1,resolved,false
67,05b4790381a1b62d803fbb3318515dfb,GO-5212204-980A3D0E49E84210B886D033F92512C9,GO-5212204-980A3D0E49E84210B886D033F92512C9,id_exact,1.0,1,resolved,false
68,5804d2deb1d45eff08042a42c4ba8aa1,GO-5212204-9984B6C557E04873B22A6C2C429981AB,GO-5212204-9984B6C557E04873B22A6C2C429981AB,id_exact,1.0,1,resolved,false
69,1a1108be01e62f0e4d0b2d6d934233f2,GO-5212204-9F5C455B3F9F44B7BF9B40D03449CED9,GO-5212204-9F5C455B3F9F44B7BF9B40D03449CED9,id_exact,1.0,1,resolved,false
70,4da1ef39d7bd52e30a039d7a9f49871b,GO-5212204-A06B364DA3AC4E1393188DD955072A7A,GO-5212204-A06B364DA3AC4E1393188DD955072A7A,id_exact,1.0,1,resolved,false
71,330b1da4013f7677676dfc249ac50654,GO-5212204-A4424F07EA5349C688955C67B8E5D443,GO-5212204-A4424F07EA5349C688955C67B8E5D443,id_exact,1.0,1,resolved,false
72,659aba98e614fb1036ae45ed6c575bd2,GO-5212204-A614927086AE489E901B1E2C9D35A6CB,GO-5212204-A614927086AE489E901B1E2C9D35A6CB,id_exact,1.0,1,resolved,false
73,6b058ea781346cc6e36afcbda5fcf366,GO-5212204-ACA083B749944315972FE0795ACD12C3,GO-5212204-ACA083B749944315972FE0795ACD12C3,id_exact,1.0,1,resolved,false
74,06e11bf692ca1aec495279ff8f88212e,GO-5212204-ADCB9B746C3B4DDF994A56429CECA7DB,GO-5212204-ADCB9B746C3B4DDF994A56429CECA7DB,id_exact,1.0,1,resolved,false
75,09160c7628f55a1986e5ec6399f31564,GO-5212204-AE6A2EC35795457CBEB9C3256A5B2FB3,GO-5212204-AE6A2EC35795457CBEB9C3256A5B2FB3,id_exact,1.0,1,resolved,false
76,6ce0d385938679bca34ef8ae4a2f3bd6,GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,id_exact,1.0,1,resolved,false
77,e68e7edd680270d09e05f46a9693bdf2,GO-5212204-B0DB916FE59C4F02AA797C8BBABA23EA,GO-5212204-B0DB916FE59C4F02AA797C8BBABA23EA,id_exact,1.0,1,resolved,false
78,be340dbaa2a8b371988d6acd1a7314b2,GO-5212204-B348A1C10B4943428EC43952E5FE1A9B,GO-5212204-B348A1C10B4943428EC43952E5FE1A9B,id_exact,1.0,1,resolved,false
79,de6e872c8f007100ce994c4d14e43fa2,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,id_exact,1.0,1,resolved,false
80,a985f7ea8382dc884edf3f0ba9c65fb9,GO-5212204-BC6E2EE9073D4CE6BCB517FA6E9EBF87,GO-5212204-BC6E2EE9073D4CE6BCB517FA6E9EBF87,id_exact,1.0,1,resolved,false
81,ee8795c6999cad7405d785562eceb99b,GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,id_exact,1.0,1,resolved,false
82,fd762b40e22d18860b1e7346553e59bb,GO-5212204-BE591775498E412EB7E493B69772012F,GO-5212204-BE591775498E412EB7E493B69772012F,id_exact,1.0,1,resolved,false
83,89dfc446823c57983180a827480decaf,GO-5212204-C020E51A64DE4DFAA0647BE31783FF65,GO-5212204-C020E51A64DE4DFAA0647BE31783FF65,id_exact,1.0,1,resolved,false
84,f7c8fdc4c78cca8f52551967dc4e07ec,GO-5212204-C1B09E9FD9214A2EA281C3801C9E1953,GO-5212204-C1B09E9FD9214A2EA281C3801C9E1953,id_exact,1.0,1,resolved,false
85,f7e1f973858fb6fc0e5df25016252d46,GO-5212204-C314E7EC753C403AB9968098ED2C6FCD,GO-5212204-C314E7EC753C403AB9968098ED2C6FCD,id_exact,1.0,1,resolved,false
86,899a02f5464eb52269e2ca6eb66ea490,GO-5212204-C36EFCBB660143D29A145ACEC1F9977C,GO-5212204-C36EFCBB660143D29A145ACEC1F9977C,id_exact,1.0,1,resolved,false
87,fd00acad7a60692500c954ccbce7864a,GO-5212204-C89768295EC14B488BC2A10A70813D1B,GO-5212204-C89768295EC14B488BC2A10A70813D1B,id_exact,1.0,1,resolved,false
88,ae57f169e6af07bea21a4515efec22d7,GO-5212204-CA4C71E570B14DB591B595D9489A2B89,GO-5212204-CA4C71E570B14DB591B595D9489A2B89,id_exact,1.0,1,resolved,false
89,26cda4ff9ca2de94976516574f8fd885,GO-5212204-CA6A8154990C4D92B41EE734F4B8FEEB,GO-5212204-CA6A8154990C4D92B41EE734F4B8FEEB,id_exact,1.0,1,resolved,false
90,f564b6fbeafceeae1f405c31b7c45285,GO-5212204-CC710126509D41038EA24A25CC12E236,GO-5212204-CC710126509D41038EA24A25CC12E236,id_exact,1.0,1,resolved,false
91,85ddfb96c51ab73f4cd9a52a6d9699b9,GO-5212204-CE5E071E653F445E8EA2609440D42C75,GO-5212204-CE5E071E653F445E8EA2609440D42C75,id_exact,1.0,1,resolved,false
92,5c144211c06f3c310268868a6c9a806b,GO-5212204-CEAFB76B8EA14062854C222248878EC8,GO-5212204-CEAFB76B8EA14062854C222248878EC8,id_exact,1.0,1,resolved,false
93,9b2d671e152c275d89472129630a5278,GO-5212204-CFFEFFF2769A4055A61320097E500EB8,GO-5212204-CFFEFFF2769A4055A61320097E500EB8,id_exact,1.0,1,resolved,false
94,76888123b6c7d2b438499f4ef96f0570,GO-5212204-D06FA1D1899847B1932E9F802BD14498,GO-5212204-D06FA1D1899847B1932E9F802BD14498,id_exact,1.0,1,resolved,false
